tokens_tags,frequency
मिर्ज़ा_NN,4
असद_JJ,2
-_SYM,4036
उल्लाह_NN,1
बेग_JJ,1
ख़ां_NN,12
उर्फ_VM,1
ग़ालिब_VAUX,1
27_QC,74
दिसंबर_NNP,61
1796_QC,3
–_NN,118
15_QC,157
फरवरी_NNP,52
1869_QC,5
उर्दू_NN,28
एवं_CC,744
फ़ारसी_XC,15
भाषा_NN,1409
के_PSP,26854
महान_JJ,65
शायर_NN,12
थे_VM,623
._SYM,25505
इन_DEM,242
अनेक_QF,102
राष्ट्रों_NN,20
चिन्हात्मक_JJ,1
समानांतर_NN,1
प्रमुख_JJ,394
होने_VM,381
नाते_NN,14
",_SYM",17915
ब्रिटिश_XC,28
एकराट्_NNP,1
स्वयं_PRP,51
को_PSP,3287
राष्ट्रमण्डल_NN,17
ख़िताब_NN,5
से_PSP,6440
भी_RP,1957
नवाज़ते_VM,1
हैं_VAUX,2010
लोहार्गल_NN,2
का_PSP,9366
अर्थ_NN,97
है_VM,13576
वह_PRP,361
स्थान_NN,254
जहां_PRP,190
लोहा_NN,6
गल_VM,1
जाए_VAUX,24
सुंकॊल्लु_XC,1
कृष्णा_NNP,116
में_PSP,17643
भारत_NNP,5318
आन्ध्रप्रदेश_NN,915
राज्य_NN,4289
अन्तर्गत_PSP,1672
कृष्णा_XC,200
जिले_NNP,3527
एक_QC,10933
गांव_NN,5703
चमना_NN,1
रानीखेत_XC,62
तहसील_NNP,399
उत्तराखण्ड_JJ,2108
अन्तर्गत_JJ,2086
कुमाऊं_NN,1450
मण्डल_NN,2769
अल्मोड़ा_XC,447
जातियों_NN,26
की_PSP,7632
संस्कृति_NN,64
अलग_JJ,143
अलग_RDP,30
और_CC,6387
बहुत_QF,161
रंग_NN,109
बिरंगी_JJ,4
बाराबती_JJ,1
क़िला_NN,9
ओडिशा_NN,12
महानदी_NNP,2
किनारे_NN,76
बना_VM,149
हुआ_VAUX,171
है_VAUX,5559
ख़ूबसूरती_NN,1
तराशे_VM,2
गए_VAUX,258
दरवाज़ों_NN,1
नौ_QC,34
मंज़िला_JJ,2
महल_NN,29
लिए_PSP,1587
प्रसिद्ध_JJ,288
इन्कलाब_NN,1
बाद_NST,748
1984_QC,62
बनी_VM,681
हिन्दी_NN,222
फिल्म_NN,892
61_QC,14
वे_PRP,735
फ़िल्मफ़ेयर_XC,5
पुरस्कार_NN,582
जनवरी_NNP,88
2016_QC,98
यश_XC,10
राज_XC,29
स्टूडियो_NNP,7
मुंबई_NNP,75
2015_QC,131
फ़िल्म_NN,609
उद्योग_NN,64
फ़िल्मों_NN,143
सम्मानित_JJ,405
करने_VM,623
आयोजित_JJ,94
किए_VM,105
थे_VAUX,424
इसकी_PRP,349
राजधानी_NN,344
नगर_JJ,12
शहर_NN,668
था_VM,510
यह_PRP,1308
बांग्लादेश_NNP,340
ढाका_NN,121
उत्तर_NN,174
दिशा_NN,124
अवस्थित_JJ,113
नौणा_NN,1
थराली_NN,66
तहसील_NN,1827
गढ़वाल_NN,696
चमोली_XC,239
माइकल_XC,20
जैक्सन_NNP,7
दंपति_NN,2
सातवीं_QO,2
संतान_NN,12
जिन्होंने_PRP,64
मात्र_RB,37
ग्यारह_QC,7
वर्ष_NN,387
आयु_NN,35
ही_RP,856
व्यवसायिक_JJ,4
रूप_NN,1170
गायकी_NN,5
आरंभ_NN,39
कर_VM,615
दी_VAUX,61
थी_VAUX,428
हर_QF,89
साल_NN,166
लाखों_QC,9
तीर्थयात्री_JJ,2
मंदिर_NN,113
दर्शन_NN,32
करते_VM,317
तिरूमला_NN,1
वेंकटेश्वर_XC,4
मंदिर_NNP,64
दूसरा_QO,109
सर्वाधिक_JJ,57
देखा_VM,61
जाने_VAUX,194
वाला_PSP,223
धार्मिक_JJ,65
तीर्थ_XC,7
स्थल_NN,93
हर्कापूर_NNP,1
इंद्रवेल्लि_XC,12
मण्डल_NNP,366
अदिलाबादु_XC,306
इसके_PRP,600
अतिरिक्त_PSP,53
सबसे_INTF,851
अधिक_QF,319
ग्रामीण_JJ,98
करोड़पति_XC,2
इसी_DEM,154
हैं_VM,2245
