start,end
120268,120296
342763,342793
255875,255891
250477,250486
47607,47623
385719,385740
265938,265954
374580,374613
306260,306332
300549,300561
175416,175439
174130,174142
256044,256093
63545,63567
84736,84755
44620,44644
450213,450270
46565,46584
285447,285468
16627,16644
172960,172969
40469,40499
365875,365893
415790,415810
161490,161503
167470,167491
310008,310020
7737,7763
485010,485027
75006,75030
398772,398791
451299,451309
195780,195803
42051,42061
343331,343348
423526,423550
181431,181450
428108,428140
333214,333230
125648,125659
244675,244685
179757,179767
341900,341903
101071,101091
258071,258081
88272,88294
365281,365298
167781,167826
190360,190374
198088,198093
436188,436211
438495,438516
85061,85072
10131,10155
232009,232040
213164,213173
184868,184889
476077,476090
249669,249683
234077,234095
259194,259201
129354,129374
331594,331605
114674,114694
138741,138747
157417,157434
317213,317237
448732,448751
268283,268294
101695,101724
44840,44851
146130,146152
331814,331831
282388,282397
59087,59098
484274,484294
19125,19168
178890,178928
391199,391220
417617,417627
339244,339252
265425,265438
109186,109202
382437,382454
43299,43305
288963,288975
471385,471393
479889,479913
204954,204967
102969,102996
136080,136088
156711,156731
439082,439093
197936,197947
433261,433290
90948,90957
66244,66272
283234,283243
161549,161570
81496,81521
25915,25932
316562,316574
372366,372376
330629,330637
36087,36098
332514,332537
452633,452662
444793,444803
291120,291131
346847,346892
247601,247613
123145,123167
163772,163782
492958,492984
481316,481345
199342,199360
59888,59907
975,992
419312,419322
320976,320988
348583,348592
22061,22094
320095,320103
47624,47631
467138,467163
210298,210314
101016,101025
492501,492514
152797,152814
257444,257454
477909,477921
232778,232795
120730,120750
491271,491306
125266,125283
379854,379876
391433,391440
400939,400960
146839,146852
116830,116843
66902,66911
384555,384575
275185,275202
423244,423285
245166,245185
482770,482788
374003,374028
41223,41243
403064,403082
367805,367818
237378,237388
418098,418153
439515,439530
343431,343443
11466,11480
456304,456321
331169,331181
12133,12147
150026,150050
178879,178889
277799,277806
128891,128925
431909,431925
235669,235689
387575,387588
394383,394392
132278,132298
1687,1720
138091,138098
345075,345103
443577,443590
456833,456841
361457,361477
233497,233503
148030,148035
160034,160048
148354,148366
154140,154168
491853,491877
325731,325754
240516,240530
227835,227853
90376,90413
492359,492376
475484,475502
293334,293345
323198,323204
318161,318178
325571,325587
6607,6622
417759,417772
56171,56178
237163,237189
42220,42227
302727,302744
445262,445277
79775,79782
67512,67519
166290,166325
483574,483582
461731,461745
376238,376250
461718,461730
204927,204938
222600,222622
442493,442513
307581,307598
341799,341831
256229,256243
29093,29102
437377,437393
434974,434984
361583,361591
41911,41926
468852,468890
67331,67356
150253,150262
103952,103981
96378,96427
402426,402451
203682,203692
286223,286240
342244,342255
166892,166910
305207,305220
47387,47396
65122,65134
56879,56896
280145,280164
462734,462751
401361,401366
54532,54562
226152,226166
384624,384662
299775,299793
486178,486202
482929,482947
283113,283122
280792,280802
451310,451330
477337,477345
192424,192448
188714,188735
34566,34584
133673,133701
261804,261816
432582,432602
307790,307798
486801,486815
269533,269548
143198,143207
425623,425636
131107,131125
301160,301175
161419,161440
106341,106356
463968,464008
349393,349408
329380,329428
230336,230359
281875,281886
297984,297990
479631,479641
157660,157680
131670,131680
141988,142025
276949,276968
93849,93860
91638,91648
420214,420222
438770,438783
287933,287953
86719,86733
474561,474569
149981,150001
154783,154795
209258,209270
255335,255342
54070,54086
42967,42980
473830,473845
318320,318335
242588,242602
155037,155039
124933,124941
258011,258020
481659,481673
328035,328055
317991,318000
438306,438317
62110,62113
300562,300577
278569,278584
399486,399499
155854,155865
183226,183246
144424,144434
240119,240131
390090,390103
349188,349226
77588,77604
232696,232730
471807,471832
267384,267394
382790,382813
314653,314663
425460,425480
33588,33620
380282,380301
11032,11052
360246,360274
207105,207136
237115,237119
158073,158099
51239,51262
44709,44762
123928,123956
251158,251184
105846,105856
397127,397145
204939,204953
155979,155994
77396,77402
321907,321918
13106,13126
295780,295798
227925,227938
19390,19408
422342,422363
29302,29316
67752,67759
9085,9101
428951,428976
210863,210878
155357,155381
52368,52391
488827,488855
338537,338546
160681,160692
112124,112140
322591,322613
189473,189493
381616,381649
203049,203060
328023,328034
226302,226314
294400,294410
391813,391830
334839,334854
414000,414008
218785,218810
123406,123434
100223,100249
76157,76196
311468,311481
63313,63323
82352,82396
398792,398801
347581,347592
31106,31114
183151,183178
264370,264384
375662,375670
473195,473220
124118,124128
272401,272416
289376,289389
60180,60187
295926,295930
14915,14927
405004,405012
9348,9371
30142,30150
271487,271505
6170,6183
348553,348582
456665,456679
231730,231739
459585,459618
419733,419739
87744,87754
50751,50775
40552,40566
218494,218523
186077,186088
406329,406345
368924,368941
267053,267070
491827,491838
67008,67023
314142,314158
233896,233908
144210,144236
354732,354752
69667,69713
38489,38523
25436,25443
55119,55143
212252,212263
281909,281923
468908,468938
400594,400612
248400,248422
106527,106549
333423,333439
78518,78531
457644,457676
193018,193041
301506,301550
32743,32767
271149,271159
352413,352433
331225,331250
441892,441910
230672,230698
94093,94116
449450,449473
578,590
13151,13171
215530,215567
461195,461216
11898,11909
246769,246772
280547,280573
448284,448295
416877,416915
92016,92043
157304,157325
122378,122394
286776,286786
255343,255360
361193,361208
113360,113367
88536,88562
452972,452984
352131,352137
73486,73500
288976,288989
312990,313018
482948,482956
55939,55960
350324,350344
420000,420013
272575,272598
62957,62971
143698,143724
111415,111424
423068,423104
407527,407537
375842,375871
203077,203104
136903,136924
492125,492134
65342,65369
63833,63846
444405,444428
382823,382836
185103,185123
141312,141325
404902,404927
312494,312510
148573,148584
380555,380561
70156,70174
410757,410774
442134,442155
219144,219167
1950,1959
462933,462941
421759,421789
455471,455492
405271,405291
48497,48516
421845,421884
106295,106307
229459,229467
95662,95671
366635,366653
273378,273388
138614,138634
416182,416195
22866,22882
341887,341899
452623,452632
286067,286087
32506,32524
473629,473649
294249,294259
317751,317761
485895,485907
435580,435590
388537,388547
435541,435551
228665,228673
424460,424481
278084,278126
193410,193418
295172,295179
465948,465960
30800,30810
174317,174321
315202,315211
177061,177075
58131,58138
292421,292431
359239,359263
57609,57664
414307,414316
88348,88357
320244,320261
29710,29730
431020,431035
285237,285253
270053,270064
25566,25586
48153,48162
410064,410082
468059,468113
96718,96739
367866,367873
214546,214565
12970,12988
57812,57836
188189,188209
187172,187187
173040,173052
463410,463437
90020,90039
428331,428366
255495,255515
464664,464676
409087,409101
305322,305339
456068,456080
183524,183547
172417,172427
109577,109588
345351,345365
339016,339035
188355,188365
57865,57870
363127,363136
226802,226841
126064,126089
136112,136153
83605,83617
254535,254543
15812,15824
47381,47386
284055,284083
418933,418964
475900,475927
348385,348406
146339,146366
195723,195734
202698,202714
371768,371790
38983,38999
442685,442708
143007,143018
233728,233750
401276,401291
61578,61594
426099,426121
4261,4282
27425,27436
39012,39032
235909,235929
314323,314337
160835,160849
244991,245019
273328,273339
167900,167910
398010,398034
357312,357329
289566,289590
13477,13510
88004,88018
151573,151594
284240,284260
346893,346982
457981,457995
462062,462079
189914,189931
84229,84249
37079,37101
105091,105102
176770,176791
427612,427632
443837,443871
360488,360503
97089,97130
330796,330805
240589,240600
376781,376790
82406,82417
360323,360326
103905,103926
350666,350681
324975,324983
138291,138306
397870,397885
158363,158386
385158,385178
445191,445201
26031,26060
399919,399969
340427,340469
166597,166615
293314,293323
286205,286222
162878,162909
355816,355827
43890,43919
489772,489784
407550,407559
328789,328817
89282,89295
33259,33280
276937,276948
134783,134795
314081,314091
371687,371736
350964,350990
351574,351588
467861,467885
171937,171957
423908,423942
335614,335644
485337,485348
231875,231916
124885,124910
206090,206097
384392,384438
17825,17831
303134,303160
254373,254389
452500,452521
299349,299357
66780,66847
409954,409974
407690,407701
280824,280840
198659,198679
371531,371543
347472,347503
378175,378180
322062,322079
284594,284617
233286,233298
149302,149326
356613,356625
233797,233809
152455,152487
306642,306652
5483,5504
289983,290003
228649,228664
56249,56262
321175,321195
378246,378280
315120,315128
22742,22779
207518,207547
278824,278840
32931,32953
411482,411506
84136,84150
442199,442211
312416,312453
401632,401650
255483,255494
287867,287888
59404,59426
329928,330020
207722,207737
62016,62045
178470,178498
23858,23878
69856,69868
358752,358762
290127,290136
20455,20479
185634,185657
206849,206861
8244,8255
449357,449366
108061,108108
160287,160307
188050,188068
107982,107992
83588,83604
300629,300648
343265,343283
407834,407843
402592,402606
268703,268711
240732,240748
354513,354520
199757,199778
20197,20214
376415,376433
155461,155473
244529,244539
396122,396156
12724,12758
434645,434656
82561,82581
246157,246177
169617,169644
445705,445721
440245,440254
392818,392838
312848,312915
457762,457772
475112,475131
230099,230112
296981,296992
486233,486287
408326,408366
484130,484137
444804,444819
477622,477639
373386,373394
263096,263123
348703,348735
118990,119000
394510,394536
383401,383429
211303,211308
268252,268268
196911,196924
78291,78312
186110,186121
381482,381507
66637,66658
18595,18604
157599,157613
177099,177126
254855,254865
323422,323442
440757,440768
99752,99770
90501,90506
429599,429619
437529,437550
252759,252781
303436,303445
384159,384170
146626,146688
466052,466062
487691,487715
455871,455879
390967,390987
147189,147217
1469,1479
73172,73217
365545,365554
296807,296819
254827,254834
342794,342806
142319,142328
309604,309616
69786,69803
264640,264656
418687,418706
25288,25306
339113,339136
161146,161176
378005,378014
307178,307187
135152,135166
273101,273135
463936,463947
359660,359675
194485,194510
202562,202586
187839,187859
126761,126780
389752,389762
171890,171907
84027,84046
152566,152586
265686,265690
352874,352895
66575,66595
405128,405145
166911,166921
391509,391533
224461,224472
71575,71585
177928,177941
391902,391913
44528,44552
429538,429560
360902,360922
230751,230771
319027,319047
488336,488349
155506,155521
358659,358678
159083,159098
383926,383950
85935,85963
390442,390454
340520,340537
28504,28529
132517,132528
139184,139222
424671,424704
259767,259787
393800,393819
426916,426927
396053,396074
193319,193336
390074,390089
150214,150231
58454,58463
414901,414912
10890,10910
176554,176565
20009,20023
404428,404453
12395,12406
456388,456408
105640,105663
466359,466370
176421,176437
389300,389320
391010,391030
451489,451508
304053,304113
349432,349448
41826,41849
453966,453986
35326,35331
414927,414941
203314,203323
332792,332812
412470,412487
145072,145090
431570,431594
190821,190841
333792,333803
205285,205297
441097,441111
449691,449712
169586,169595
271983,271996
281460,281490
15414,15434
184140,184156
155726,155742
415742,415757
476227,476244
192685,192691
415728,415741
93539,93554
84161,84171
430739,430750
52118,52156
320858,320868
110699,110735
239055,239076
68880,68893
388304,388330
96067,96086
215568,215587
86911,86921
158890,158923
146110,146129
54019,54027
314526,314534
77827,77847
432345,432396
1214,1220
26877,26888
425662,425676
120508,120524
457553,457566
145024,145048
365464,365472
156827,156843
366366,366373
201836,201852
198861,198874
25346,25355
453215,453249
357077,357098
364984,364997
368111,368126
405465,405527
196559,196581
464009,464022
337956,337972
140761,140790
214626,214648
165393,165413
56794,56811
324357,324373
380945,380968
427082,427103
180873,180899
135705,135725
309314,309338
457253,457273
73662,73685
242990,243002
3312,3327
411696,411712
156497,156513
87118,87136
395566,395573
35057,35069
381676,381692
113040,113061
187657,187667
119534,119555
394087,394102
381277,381289
197759,197776
67357,67364
455844,455870
52642,52656
442973,442998
341690,341716
458076,458083
258032,258041
300539,300548
376973,376988
177687,177702
286952,286970
316858,316869
134400,134414
252929,252939
237431,237436
126167,126179
50514,50548
417439,417450
55585,55588
252696,252708
232577,232615
65883,65900
445237,445261
62936,62956
53151,53190
231413,231437
68800,68821
346460,346470
274316,274346
479485,479514
191702,191722
268689,268697
86287,86295
309081,309093
86428,86439
356222,356249
225733,225743
259383,259396
158138,158149
305935,305948
75525,75539
157435,157499
225319,225330
152845,152861
239614,239630
170289,170313
308325,308334
194558,194572
269028,269041
68965,69008
66185,66205
461753,461781
175079,175114
85912,85934
408055,408087
17463,17482
130191,130215
83437,83449
186097,186109
97838,97858
28176,28192
33621,33629
